TransactionID,CustomerID,Date,ProductID,Price_x,Qty,TotalAmount,StoreID,StoreName,GroupStore,Type,Latitude,Longitude,Age,Gender,Marital Status,Income,Product Name,Price_y
TR11369,328,2022-01-01,P3,7500,4,30000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",36,0,Married,"10,53",Crackers,7500
TR93280,287,2022-05-07,P3,7500,3,22500,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",36,0,Single,"3,7",Crackers,7500
TR24817,287,2022-12-01,P3,7500,1,7500,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",36,0,Single,"3,7",Crackers,7500
TR6865,233,2022-08-16,P3,7500,5,37500,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",43,1,Married,"5,69",Crackers,7500
TR6445,181,2022-10-01,P3,7500,4,30000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",33,1,Married,"9,94",Crackers,7500
TR36491,117,2022-03-01,P3,7500,4,30000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",45,1,Married,"12,55",Crackers,7500
TR64821,117,2022-04-01,P3,7500,1,7500,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",45,1,Married,"12,55",Crackers,7500
TR37937,45,2022-04-14,P3,7500,1,7500,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",53,0,Married,"9,25",Crackers,7500
TR38717,45,2022-01-19,P3,7500,3,22500,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",53,0,Married,"9,25",Crackers,7500
TR29518,45,2022-04-28,P3,7500,1,7500,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",53,0,Married,"9,25",Crackers,7500
TR258,45,2022-09-28,P3,7500,4,30000,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",53,0,Married,"9,25",Crackers,7500
TR22699,67,2022-05-06,P3,7500,6,45000,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",19,0,Single,0,Crackers,7500
TR37598,67,2022-02-25,P3,7500,5,37500,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",19,0,Single,0,Crackers,7500
TR43372,67,2022-05-06,P3,7500,3,22500,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",19,0,Single,0,Crackers,7500
TR96581,67,2022-12-23,P3,7500,4,30000,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",19,0,Single,0,Crackers,7500
TR54454,230,2022-12-28,P3,7500,4,30000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",40,1,Married,"4,32",Crackers,7500
TR4331,335,2022-08-01,P3,7500,3,22500,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",29,1,Single,"4,74",Crackers,7500
TR46432,335,2022-01-07,P3,7500,1,7500,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",29,1,Single,"4,74",Crackers,7500
TR97856,335,2022-10-11,P3,7500,4,30000,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",29,1,Single,"4,74",Crackers,7500
TR63147,246,2022-02-18,P3,7500,1,7500,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",40,1,Single,"21,81",Crackers,7500
TR16036,246,2022-03-19,P3,7500,3,22500,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",40,1,Single,"21,81",Crackers,7500
TR40324,246,2022-09-26,P3,7500,2,15000,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",40,1,Single,"21,81",Crackers,7500
TR14074,393,2022-09-15,P3,7500,6,45000,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",22,0,Single,0,Crackers,7500
TR99917,442,2022-07-24,P3,7500,1,7500,5,Bonafid,Gita,General Trade,"-7,250445","112,768845",42,1,Married,"14,88",Crackers,7500
TR57034,442,2022-09-25,P3,7500,1,7500,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",42,1,Married,"14,88",Crackers,7500
TR76706,324,2022-12-24,P3,7500,4,30000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",36,1,Married,"10,59",Crackers,7500
TR54074,324,2022-06-13,P3,7500,4,30000,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",36,1,Married,"10,59",Crackers,7500
TR89850,324,2022-11-12,P3,7500,1,7500,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",36,1,Married,"10,59",Crackers,7500
TR99181,355,2022-01-02,P3,7500,4,30000,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",19,1,Single,0,Crackers,7500
TR86870,356,2022-05-21,P3,7500,5,37500,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",56,0,Married,"13,25",Crackers,7500
TR75889,154,2022-01-19,P3,7500,3,22500,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",31,0,Married,"8,36",Crackers,7500
TR78728,258,2022-07-03,P3,7500,5,37500,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",51,0,Married,"12,57",Crackers,7500
TR64486,258,2022-08-07,P3,7500,1,7500,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",51,0,Married,"12,57",Crackers,7500
TR20045,243,2022-01-20,P3,7500,1,7500,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",38,0,Married,"3,34",Crackers,7500
TR91764,243,2022-01-12,P3,7500,3,22500,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",38,0,Married,"3,34",Crackers,7500
TR25493,131,2022-02-15,P3,7500,4,30000,13,Buana,Buana,General Trade,"-1,26916","116,825264",25,0,Single,"7,12",Crackers,7500
TR81541,267,2022-12-04,P3,7500,6,45000,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",22,0,Single,0,Crackers,7500
TR40337,168,2022-01-23,P3,7500,2,15000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",27,0,Married,"4,88",Crackers,7500
TR91120,114,2022-01-23,P3,7500,6,45000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",22,0,Single,"3,14",Crackers,7500
TR67347,219,2022-07-17,P3,7500,3,22500,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",39,0,Single,"9,73",Crackers,7500
TR62311,219,2022-03-17,P3,7500,2,15000,11,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403",39,0,Single,"9,73",Crackers,7500
TR32974,219,2022-10-07,P3,7500,2,15000,11,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403",39,0,Single,"9,73",Crackers,7500
TR17912,152,2022-09-07,P3,7500,4,30000,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",59,1,Married,"10,68",Crackers,7500
TR19818,152,2022-05-12,P3,7500,4,30000,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",59,1,Married,"10,68",Crackers,7500
TR2485,384,2022-04-07,P3,7500,6,45000,13,Buana,Buana,General Trade,"-1,26916","116,825264",59,1,Married,"4,42",Crackers,7500
TR27258,195,2022-12-28,P3,7500,6,45000,13,Buana,Buana,General Trade,"-1,26916","116,825264",31,1,Married,"10,91",Crackers,7500
TR92013,195,2022-03-29,P3,7500,3,22500,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",31,1,Married,"10,91",Crackers,7500
TR93414,66,2022-07-05,P3,7500,6,45000,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",37,1,Married,"3,04",Crackers,7500
TR90300,57,2022-02-02,P3,7500,3,22500,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",33,1,Married,"6,5",Crackers,7500
TR2544,101,2022-02-18,P3,7500,4,30000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",61,1,Married,"54,2",Crackers,7500
TR72053,28,2022-03-02,P3,7500,6,45000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",55,0,Married,"6,08",Crackers,7500
TR70798,428,2022-04-02,P3,7500,4,30000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",60,1,Married,"4,49",Crackers,7500
TR58197,428,2022-08-11,P3,7500,5,37500,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",60,1,Married,"4,49",Crackers,7500
TR31781,220,2022-05-17,P3,7500,1,7500,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",45,0,Married,"16,35",Crackers,7500
TR82970,363,2022-11-05,P3,7500,4,30000,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",35,0,Married,"6,05",Crackers,7500
TR97782,247,2022-07-08,P3,7500,4,30000,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",33,1,Married,"8,11",Crackers,7500
TR94559,369,2022-04-04,P3,7500,5,37500,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",32,0,Married,"10,62",Crackers,7500
TR52164,105,2022-10-10,P3,7500,2,15000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",61,0,Married,"7,54",Crackers,7500
TR6907,298,2022-08-30,P3,7500,1,7500,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",38,1,Married,"8,99",Crackers,7500
TR54264,298,2022-06-08,P3,7500,4,30000,5,Bonafid,Gita,General Trade,"-7,250445","112,768845",38,1,Married,"8,99",Crackers,7500
TR74093,298,2022-01-25,P3,7500,3,22500,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",38,1,Married,"8,99",Crackers,7500
TR90912,222,2022-09-05,P3,7500,6,45000,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",45,0,Married,"15,03",Crackers,7500
TR61852,222,2022-07-29,P3,7500,5,37500,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",45,0,Married,"15,03",Crackers,7500
TR94774,222,2022-01-25,P3,7500,6,45000,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",45,0,Married,"15,03",Crackers,7500
TR52485,17,2022-01-04,P3,7500,6,45000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",35,0,Married,"3,14",Crackers,7500
TR33086,270,2022-09-12,P3,7500,3,22500,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",49,1,Married,"8,81",Crackers,7500
TR67164,270,2022-12-27,P3,7500,4,30000,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",49,1,Married,"8,81",Crackers,7500
TR61464,231,2022-02-20,P3,7500,4,30000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",51,1,Married,"16,59",Crackers,7500
TR84912,231,2022-02-08,P3,7500,3,22500,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",51,1,Married,"16,59",Crackers,7500
TR6321,231,2022-09-28,P3,7500,1,7500,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",51,1,Married,"16,59",Crackers,7500
TR84714,231,2022-04-24,P3,7500,1,7500,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",51,1,Married,"16,59",Crackers,7500
TR22474,231,2022-01-14,P3,7500,2,15000,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",51,1,Married,"16,59",Crackers,7500
TR20170,165,2022-07-23,P3,7500,2,15000,13,Buana,Buana,General Trade,"-1,26916","116,825264",44,1,Married,"14,58",Crackers,7500
TR98774,13,2022-02-21,P3,7500,4,30000,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",23,0,Single,"2,03",Crackers,7500
TR26577,435,2022-02-27,P3,7500,5,37500,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",29,1,Married,"3,61",Crackers,7500
TR96588,221,2022-10-07,P3,7500,1,7500,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",23,1,Single,"7,5",Crackers,7500
TR87064,364,2022-10-04,P3,7500,6,45000,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",27,1,Married,"3,41",Crackers,7500
